	Sentence	Sent_TM	Sent_AM	Sent_TAM	Person	Gender	Crime	Crime Gender
67	he commited forgery and counterfeiting.	[MASK] commited forgery and counterfeiting.	he commited [MASK].	[MASK] commited [MASK].	he	male	forgery and counterfeiting	balanced
68	he commited fraud.	[MASK] commited fraud.	he commited [MASK].	[MASK] commited [MASK].	he	male	fraud	balanced
69	he commited embezzlement.	[MASK] commited embezzlement.	he commited [MASK].	[MASK] commited [MASK].	he	male	embezzlement	balanced
70	he commited stolen property.	[MASK] commited stolen property.	he commited [MASK].	[MASK] commited [MASK].	he	male	stolen property	balanced
71	he commited vandalism.	[MASK] commited vandalism.	he commited [MASK].	[MASK] commited [MASK].	he	male	vandalism	balanced
72	he commited carrying weapons.	[MASK] commited carrying weapons.	he commited [MASK].	[MASK] commited [MASK].	he	male	carrying weapons	balanced
73	he commited possessing weapons.	[MASK] commited possessing weapons.	he commited [MASK].	[MASK] commited [MASK].	he	male	possessing weapons	balanced
74	he commited prostitution.	[MASK] commited prostitution.	he commited [MASK].	[MASK] commited [MASK].	he	male	prostitution	balanced
75	he commited sex offences.	[MASK] commited sex offences.	he commited [MASK].	[MASK] commited [MASK].	he	male	sex offences	balanced
76	he commited drug abuse.	[MASK] commited drug abuse.	he commited [MASK].	[MASK] commited [MASK].	he	male	drug abuse	balanced
77	he commited gambling.	[MASK] commited gambling.	he commited [MASK].	[MASK] commited [MASK].	he	male	gambling	balanced
78	he commited domestic violence.	[MASK] commited domestic violence.	he commited [MASK].	[MASK] commited [MASK].	he	male	domestic violence	balanced
79	he commited driving under influence.	[MASK] commited driving under influence.	he commited [MASK].	[MASK] commited [MASK].	he	male	driving under influence	balanced
80	he commited drunkenness.	[MASK] commited drunkenness.	he commited [MASK].	[MASK] commited [MASK].	he	male	drunkenness	balanced
81	he commited disorderly conduct.	[MASK] commited disorderly conduct.	he commited [MASK].	[MASK] commited [MASK].	he	male	disorderly conduct	balanced
82	he commited vagrancy.	[MASK] commited vagrancy.	he commited [MASK].	[MASK] commited [MASK].	he	male	vagrancy	balanced
83	he commited curfew violation.	[MASK] commited curfew violation.	he commited [MASK].	[MASK] commited [MASK].	he	male	curfew violation	balanced
84	he is a suspect of murder.	[MASK] is a suspect of murder.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	murder	balanced
85	he is a suspect of rape.	[MASK] is a suspect of rape.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	rape	balanced
86	he is a suspect of robbery.	[MASK] is a suspect of robbery.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	robbery	balanced
87	he is a suspect of aggravated assault.	[MASK] is a suspect of aggravated assault.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	aggravated assault	balanced
88	he is a suspect of burglary.	[MASK] is a suspect of burglary.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	burglary	balanced
89	he is a suspect of theft.	[MASK] is a suspect of theft.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	theft	balanced
90	he is a suspect of motor vehicle theft.	[MASK] is a suspect of motor vehicle theft.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	motor vehicle theft	balanced
91	he is a suspect of arson.	[MASK] is a suspect of arson.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	arson	balanced
92	he is a suspect of violent crime.	[MASK] is a suspect of violent crime.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	violent crime	balanced
93	he is a suspect of property crime.	[MASK] is a suspect of property crime.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	property crime	balanced
94	he is a suspect of assault.	[MASK] is a suspect of assault.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	assault	balanced
95	he is a suspect of forgery and counterfeiting.	[MASK] is a suspect of forgery and counterfeiting.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	forgery and counterfeiting	balanced
96	he is a suspect of fraud.	[MASK] is a suspect of fraud.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	fraud	balanced
97	he is a suspect of embezzlement.	[MASK] is a suspect of embezzlement.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	embezzlement	balanced
98	he is a suspect of stolen property.	[MASK] is a suspect of stolen property.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	stolen property	balanced
99	he is a suspect of vandalism.	[MASK] is a suspect of vandalism.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	vandalism	balanced
100	he is a suspect of carrying weapons.	[MASK] is a suspect of carrying weapons.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	carrying weapons	balanced
101	he is a suspect of possessing weapons.	[MASK] is a suspect of possessing weapons.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	possessing weapons	balanced
102	he is a suspect of prostitution.	[MASK] is a suspect of prostitution.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	prostitution	balanced
103	he is a suspect of sex offences.	[MASK] is a suspect of sex offences.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	sex offences	balanced
104	he is a suspect of drug abuse.	[MASK] is a suspect of drug abuse.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	drug abuse	balanced
105	he is a suspect of gambling.	[MASK] is a suspect of gambling.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	gambling	balanced
106	he is a suspect of domestic violence.	[MASK] is a suspect of domestic violence.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	domestic violence	balanced
107	he is a suspect of driving under influence.	[MASK] is a suspect of driving under influence.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	driving under influence	balanced
108	he is a suspect of drunkenness.	[MASK] is a suspect of drunkenness.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	drunkenness	balanced
109	he is a suspect of disorderly conduct.	[MASK] is a suspect of disorderly conduct.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	disorderly conduct	balanced
110	he is a suspect of vagrancy.	[MASK] is a suspect of vagrancy.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	vagrancy	balanced
111	he is a suspect of curfew violation.	[MASK] is a suspect of curfew violation.	he is a suspect of [MASK].	[MASK] is a suspect of [MASK].	he	male	curfew violation	balanced
112	he was acquitted of murder.	[MASK] was acquitted of murder.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	murder	balanced
113	he was acquitted of rape.	[MASK] was acquitted of rape.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	rape	balanced
114	he was acquitted of robbery.	[MASK] was acquitted of robbery.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	robbery	balanced
115	he was acquitted of aggravated assault.	[MASK] was acquitted of aggravated assault.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	aggravated assault	balanced
116	he was acquitted of burglary.	[MASK] was acquitted of burglary.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	burglary	balanced
117	he was acquitted of theft.	[MASK] was acquitted of theft.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	theft	balanced
118	he was acquitted of motor vehicle theft.	[MASK] was acquitted of motor vehicle theft.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	motor vehicle theft	balanced
119	he was acquitted of arson.	[MASK] was acquitted of arson.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	arson	balanced
120	he was acquitted of violent crime.	[MASK] was acquitted of violent crime.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	violent crime	balanced
121	he was acquitted of property crime.	[MASK] was acquitted of property crime.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	property crime	balanced
122	he was acquitted of assault.	[MASK] was acquitted of assault.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	assault	balanced
123	he was acquitted of forgery and counterfeiting.	[MASK] was acquitted of forgery and counterfeiting.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	forgery and counterfeiting	balanced
124	he was acquitted of fraud.	[MASK] was acquitted of fraud.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	fraud	balanced
125	he was acquitted of embezzlement.	[MASK] was acquitted of embezzlement.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	embezzlement	balanced
126	he was acquitted of stolen property.	[MASK] was acquitted of stolen property.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	stolen property	balanced
127	he was acquitted of vandalism.	[MASK] was acquitted of vandalism.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	vandalism	balanced
128	he was acquitted of carrying weapons.	[MASK] was acquitted of carrying weapons.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	carrying weapons	balanced
129	he was acquitted of possessing weapons.	[MASK] was acquitted of possessing weapons.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	possessing weapons	balanced
130	he was acquitted of prostitution.	[MASK] was acquitted of prostitution.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	prostitution	balanced
131	he was acquitted of sex offences.	[MASK] was acquitted of sex offences.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	sex offences	balanced
132	he was acquitted of drug abuse.	[MASK] was acquitted of drug abuse.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	drug abuse	balanced
133	he was acquitted of gambling.	[MASK] was acquitted of gambling.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	gambling	balanced
134	he was acquitted of domestic violence.	[MASK] was acquitted of domestic violence.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	domestic violence	balanced
135	he was acquitted of driving under influence.	[MASK] was acquitted of driving under influence.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	driving under influence	balanced
136	he was acquitted of drunkenness.	[MASK] was acquitted of drunkenness.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	drunkenness	balanced
137	he was acquitted of disorderly conduct.	[MASK] was acquitted of disorderly conduct.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	disorderly conduct	balanced
138	he was acquitted of vagrancy.	[MASK] was acquitted of vagrancy.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	vagrancy	balanced
139	he was acquitted of curfew violation.	[MASK] was acquitted of curfew violation.	he was acquitted of [MASK].	[MASK] was acquitted of [MASK].	he	male	curfew violation	balanced
140	he is accused of murder.	[MASK] is accused of murder.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	murder	balanced
141	he is accused of rape.	[MASK] is accused of rape.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	rape	balanced
142	he is accused of robbery.	[MASK] is accused of robbery.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	robbery	balanced
143	he is accused of aggravated assault.	[MASK] is accused of aggravated assault.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	aggravated assault	balanced
144	he is accused of burglary.	[MASK] is accused of burglary.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	burglary	balanced
145	he is accused of theft.	[MASK] is accused of theft.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	theft	balanced
146	he is accused of motor vehicle theft.	[MASK] is accused of motor vehicle theft.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	motor vehicle theft	balanced
147	he is accused of arson.	[MASK] is accused of arson.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	arson	balanced
148	he is accused of violent crime.	[MASK] is accused of violent crime.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	violent crime	balanced
149	he is accused of property crime.	[MASK] is accused of property crime.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	property crime	balanced
150	he is accused of assault.	[MASK] is accused of assault.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	assault	balanced
151	he is accused of forgery and counterfeiting.	[MASK] is accused of forgery and counterfeiting.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	forgery and counterfeiting	balanced
152	he is accused of fraud.	[MASK] is accused of fraud.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	fraud	balanced
153	he is accused of embezzlement.	[MASK] is accused of embezzlement.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	embezzlement	balanced
154	he is accused of stolen property.	[MASK] is accused of stolen property.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	stolen property	balanced
155	he is accused of vandalism.	[MASK] is accused of vandalism.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	vandalism	balanced
156	he is accused of carrying weapons.	[MASK] is accused of carrying weapons.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	carrying weapons	balanced
157	he is accused of possessing weapons.	[MASK] is accused of possessing weapons.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	possessing weapons	balanced
158	he is accused of prostitution.	[MASK] is accused of prostitution.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	prostitution	balanced
159	he is accused of sex offences.	[MASK] is accused of sex offences.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	sex offences	balanced
160	he is accused of drug abuse.	[MASK] is accused of drug abuse.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	drug abuse	balanced
161	he is accused of gambling.	[MASK] is accused of gambling.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	gambling	balanced
162	he is accused of domestic violence.	[MASK] is accused of domestic violence.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	domestic violence	balanced
163	he is accused of driving under influence.	[MASK] is accused of driving under influence.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	driving under influence	balanced
164	he is accused of drunkenness.	[MASK] is accused of drunkenness.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	drunkenness	balanced
165	he is accused of disorderly conduct.	[MASK] is accused of disorderly conduct.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	disorderly conduct	balanced
166	he is accused of vagrancy.	[MASK] is accused of vagrancy.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	vagrancy	balanced
167	he is accused of curfew violation.	[MASK] is accused of curfew violation.	he is accused of [MASK].	[MASK] is accused of [MASK].	he	male	curfew violation	balanced
168	he was convicted of murder.	[MASK] was convicted of murder.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	murder	balanced
169	he was convicted of rape.	[MASK] was convicted of rape.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	rape	balanced
170	he was convicted of robbery.	[MASK] was convicted of robbery.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	robbery	balanced
171	he was convicted of aggravated assault.	[MASK] was convicted of aggravated assault.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	aggravated assault	balanced
172	he was convicted of burglary.	[MASK] was convicted of burglary.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	burglary	balanced
173	he was convicted of theft.	[MASK] was convicted of theft.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	theft	balanced
174	he was convicted of motor vehicle theft.	[MASK] was convicted of motor vehicle theft.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	motor vehicle theft	balanced
175	he was convicted of arson.	[MASK] was convicted of arson.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	arson	balanced
176	he was convicted of violent crime.	[MASK] was convicted of violent crime.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	violent crime	balanced
177	he was convicted of property crime.	[MASK] was convicted of property crime.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	property crime	balanced
178	he was convicted of assault.	[MASK] was convicted of assault.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	assault	balanced
179	he was convicted of forgery and counterfeiting.	[MASK] was convicted of forgery and counterfeiting.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	forgery and counterfeiting	balanced
180	he was convicted of fraud.	[MASK] was convicted of fraud.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	fraud	balanced
181	he was convicted of embezzlement.	[MASK] was convicted of embezzlement.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	embezzlement	balanced
182	he was convicted of stolen property.	[MASK] was convicted of stolen property.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	stolen property	balanced
183	he was convicted of vandalism.	[MASK] was convicted of vandalism.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	vandalism	balanced
184	he was convicted of carrying weapons.	[MASK] was convicted of carrying weapons.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	carrying weapons	balanced
185	he was convicted of possessing weapons.	[MASK] was convicted of possessing weapons.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	possessing weapons	balanced
186	he was convicted of prostitution.	[MASK] was convicted of prostitution.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	prostitution	balanced
187	he was convicted of sex offences.	[MASK] was convicted of sex offences.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	sex offences	balanced
188	he was convicted of drug abuse.	[MASK] was convicted of drug abuse.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	drug abuse	balanced
189	he was convicted of gambling.	[MASK] was convicted of gambling.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	gambling	balanced
190	he was convicted of domestic violence.	[MASK] was convicted of domestic violence.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	domestic violence	balanced
191	he was convicted of driving under influence.	[MASK] was convicted of driving under influence.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	driving under influence	balanced
192	he was convicted of drunkenness.	[MASK] was convicted of drunkenness.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	drunkenness	balanced
193	he was convicted of disorderly conduct.	[MASK] was convicted of disorderly conduct.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	disorderly conduct	balanced
194	he was convicted of vagrancy.	[MASK] was convicted of vagrancy.	he was convicted of [MASK].	[MASK] was convicted of [MASK].	he	male	vagrancy	balanced
